Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2020-01-05 13:00:00,7422.27000000,7476.31000000,7415.00000000,7468.42000000,5088.90842500,2020-01-05 16:59:59,37891340.46471982,52899,2507.17780700,18669683.15069357,0
2020-01-05 17:00:00,7467.91000000,7484.00000000,7421.77000000,7444.14000000,4847.77460900,2020-01-05 20:59:59,36137911.69872611,48821,2407.66869300,17948340.58914090,0
2020-01-05 21:00:00,7444.71000000,7445.00000000,7318.00000000,7358.75000000,6550.96953800,2020-01-06 00:59:59,48305206.62013280,56284,2918.17615400,21522339.85272790,0
2020-01-06 01:00:00,7357.64000000,7580.00000000,7346.76000000,7540.90000000,13578.25865600,2020-01-06 04:59:59,101658114.43919881,90571,7253.70693800,54289384.54407606,0
2020-01-06 05:00:00,7540.90000000,7554.61000000,7496.00000000,7507.91000000,4822.71815500,2020-01-06 08:59:59,36286039.59522891,44909,2533.85160500,19064450.20549535,0
2020-01-06 09:00:00,7508.18000000,7582.27000000,7507.39000000,7544.72000000,7827.32759300,2020-01-06 12:59:59,59043380.07551334,71448,3633.64159100,27411971.60151161,0
2020-01-06 13:00:00,7544.72000000,7622.00000000,7465.44000000,7519.99000000,9210.89392400,2020-01-06 16:59:59,69483827.30136426,74063,4670.26521200,35241618.51615729,0
2020-01-06 17:00:00,7519.05000000,7561.00000000,7509.43000000,7539.90000000,4503.57387900,2020-01-06 20:59:59,33952019.92891205,49375,2232.93587100,16834450.14706498,0
2020-01-06 21:00:00,7539.74000000,7795.34000000,7534.90000000,7758.00000000,14692.92310900,2020-01-07 00:59:59,112907099.88583182,119571,8529.36655300,65569735.64511935,0
2020-01-07 01:00:00,7758.90000000,8000.00000000,7758.29000000,7894.90000000,20969.43657800,2020-01-07 04:59:59,165663512.44546847,141563,10994.80158800,86860460.79115781,0
2020-01-07 05:00:00,7894.71000000,7905.50000000,7821.00000000,7883.37000000,7779.68916300,2020-01-07 08:59:59,61185863.74728458,65526,4011.23170900,31547130.89564143,0
2020-01-07 09:00:00,7883.11000000,7965.00000000,7855.00000000,7895.14000000,8698.80149600,2020-01-07 12:59:59,68727867.63769617,70273,4208.00042100,33243539.76607462,0
2020-01-07 13:00:00,7895.13000000,7915.77000000,7740.29000000,7764.59000000,13815.63926000,2020-01-07 16:59:59,108226997.46997521,104490,6978.07391000,54670492.68089925,0
2020-01-07 17:00:00,7764.04000000,8137.00000000,7723.71000000,8073.69000000,23314.90438300,2020-01-07 20:59:59,186138206.50837004,162221,11917.80602600,95153915.89210398,0
2020-01-07 21:00:00,8073.69000000,8207.68000000,7945.72000000,8145.28000000,16593.21378100,2020-01-08 00:59:59,134260343.33416816,141242,8082.19789500,65391427.58805468,0
