symbol,price
NPXSETH,0.00000345
VENUSDT,0.00010000
KEYBTC,0.00000013
KEYETH,0.00000363
NASBTC,0.00000950
NASETH,0.00015610
NASBNB,0.02337000
MFTBTC,0.00000008
MFTETH,0.00000411
MFTBNB,0.00002674
DENTBTC,0.00000004
DENTETH,0.00000109
ARDRBTC,0.00000493
ARDRETH,0.00018870
ARDRBNB,0.00316800
NULSUSDT,0.36810000
HOTBTC,0.00000002
HOTETH,0.00000277
VETBTC,0.00000225
VETETH,0.00003688
VETUSDT,0.07482000
VETBNB,0.00023820
DOCKBTC,0.00000217
DOCKETH,0.00003283
POLYBTC,0.00000587
POLYBNB,0.00145900
PHXBTC,0.00000180
PHXETH,0.00005617
PHXBNB,0.00045600
HCBTC,0.00002000
HCETH,0.00513400
GOBTC,0.00000058
GOBNB,0.00069230
PAXBTC,0.00025175
PAXBNB,0.20121000
PAXUSDT,0.99990000
PAXETH,0.00888047
RVNBTC,0.00000152
RVNBNB,0.00016180
DCRBTC,0.00380500
DCRBNB,0.78100000
USDCBNB,0.21755000
MITHBTC,0.00000142
MITHBNB,0.00015080
BCHABCBTC,0.02933000
BCHSVBTC,0.01117900
BCHABCUSDT,220.08000000
BCHSVUSDT,58.90000000
BNBPAX,313.69000000
BTCPAX,33185.40000000
ETHPAX,2029.35000000
XRPPAX,0.88960000
EOSPAX,2.58450000
XLMPAX,0.04221000
RENBTC,0.00001061
RENBNB,0.00458500
BNBTUSD,313.00000000
XRPTUSD,0.63210000
EOSTUSD,4.02820000
XLMTUSD,0.06833000
BNBUSDC,314.03000000
BTCUSDC,33174.56000000
ETHUSDC,2029.74000000
XRPUSDC,0.63270000
EOSUSDC,4.03140000
XLMUSDC,0.04970000
USDCUSDT,1.00000000
ADATUSD,1.30000000
TRXTUSD,0.06032000
NEOTUSD,11.81800000
TRXXRP,0.09544000
XZCXRP,20.79200000
PAXTUSD,0.99950000
USDCTUSD,1.00000000
USDCPAX,1.00020000
LINKUSDT,17.65700000
LINKTUSD,17.58400000
LINKPAX,3.98340000
LINKUSDC,17.65300000
WAVESUSDT,13.91900000
WAVESTUSD,1.07200000
WAVESPAX,0.80290000
WAVESUSDC,1.20360000
BCHABCTUSD,220.20000000
BCHABCPAX,221.20000000
BCHABCUSDC,220.30000000
BCHSVTUSD,59.17000000
BCHSVPAX,58.18000000
BCHSVUSDC,57.50000000
LTCTUSD,133.48000000
LTCPAX,171.13000000
LTCUSDC,133.47000000
TRXPAX,0.07661000
TRXUSDC,0.06032000
BTTBTC,0.00000005
BTTBNB,0.00000781
BTTUSDT,0.00245330
BNBUSDS,22.27880000
BTCUSDS,9604.59000000
USDSUSDT,0.99680000
USDSPAX,1.00020000
USDSTUSD,1.00000000
USDSUSDC,1.00000000
BTTPAX,0.00038660
BTTTUSD,0.00245360
BTTUSDC,0.00245410
ONGBNB,0.00545000
ONGBTC,0.00002278
ONGUSDT,0.75390000
HOTBNB,0.00001785
HOTUSDT,0.00560800
ZILUSDT,0.07181000
ZRXBNB,0.01045000
ZRXUSDT,0.74240000
FETBNB,0.00082700
FETBTC,0.00000781
FETUSDT,0.25923000
BATUSDT,0.55020000
XMRBNB,0.66200000
XMRUSDT,207.83000000
ZECBNB,0.34250000
ZECUSDT,107.41000000
ZECPAX,42.10000000
ZECTUSD,51.48000000
ZECUSDC,107.50000000
IOSTBNB,0.00006610
IOSTUSDT,0.02067700
CELRBNB,0.00009210
CELRBTC,0.00000086
CELRUSDT,0.02876000
ADAPAX,0.03257000
ADAUSDC,1.29880000
NEOPAX,11.12200000
NEOUSDC,33.44900000
DASHBNB,0.40240000
DASHUSDT,125.85000000
NANOUSDT,4.34090000
OMGBNB,0.03938000
OMGUSDT,4.04600000
THETAUSDT,5.43300000
ENJUSDT,1.29710000
MITHUSDT,0.04712000
MATICBNB,0.00314140
MATICBTC,0.00002974
MATICUSDT,0.98683000
ATOMBNB,0.04296000
ATOMBTC,0.00040660
ATOMUSDT,13.48800000
ATOMUSDC,13.51600000
ATOMPAX,3.17800000
ATOMTUSD,2.59800000
ETCUSDC,4.71000000
ETCPAX,4.83800000
ETCTUSD,3.79500000
BATUSDC,0.63130000
BATPAX,0.25560000
BATTUSD,0.22220000
PHBBNB,0.00013700
PHBBTC,0.00000020
PHBUSDC,0.00587000
PHBTUSD,0.00667000
PHBPAX,0.00639000
TFUELBNB,0.00012590
TFUELBTC,0.00000980
TFUELUSDT,0.32515000
TFUELUSDC,0.00356500
TFUELTUSD,0.00307700
TFUELPAX,0.00348700
ONEBNB,0.00027140
ONEBTC,0.00000256
ONEUSDT,0.08511000
ONETUSD,0.00472000
ONEPAX,0.00496000
ONEUSDC,0.00520000
FTMBNB,0.00074600
FTMBTC,0.00000707
FTMUSDT,0.23465000
FTMTUSD,0.01095000
FTMPAX,0.01028000
FTMUSDC,0.01107000
BTCBBTC,1.00000000
BCPTTUSD,0.02606000
BCPTPAX,0.02761000
BCPTUSDC,0.02728000
ALGOBNB,0.00277000
ALGOBTC,0.00002621
ALGOUSDT,0.86960000
ALGOTUSD,1.01700000
ALGOPAX,0.20390000
ALGOUSDC,0.23800000
USDSBUSDT,0.99970000
