Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2021-04-26 22:00:00,54038.21000000,54250.00000000,52600.36000000,54001.39000000,12895.01437000,2021-04-27 01:59:59,688211063.58101168,381452,6526.43996600,348236898.89099877,0
2021-04-27 02:00:00,54001.38000000,54160.61000000,53267.71000000,53460.30000000,7766.38673800,2021-04-27 05:59:59,417323176.41992737,212705,3553.35944700,190963763.83595527,0
2021-04-27 06:00:00,53460.30000000,54933.74000000,53222.00000000,54545.01000000,10521.36638800,2021-04-27 09:59:59,571037569.35603738,256369,4892.51123000,265475894.42481104,0
2021-04-27 10:00:00,54545.00000000,55242.32000000,54248.92000000,55152.43000000,9661.99434800,2021-04-27 13:59:59,528491624.02825105,322440,4767.30395000,260760888.79686843,0
2021-04-27 14:00:00,55152.43000000,55300.00000000,54258.32000000,54981.87000000,12350.41487900,2021-04-27 17:59:59,677177657.87862052,336652,5843.39807100,320437257.84054980,0
2021-04-27 18:00:00,54981.86000000,55081.61000000,54258.40000000,54761.70000000,7488.52975800,2021-04-27 21:59:59,410226774.91867402,234258,3437.14800100,188295419.49297044,0
2021-04-27 22:00:00,54761.70000000,55460.00000000,54738.43000000,55011.97000000,6275.34256400,2021-04-28 01:59:59,345462525.76547938,206242,3137.35393000,172798576.78518119,0
2021-04-28 02:00:00,55011.97000000,55738.00000000,54769.42000000,54774.05000000,9735.22176700,2021-04-28 05:59:59,538535511.20776914,255499,4356.69833200,241083038.47190699,0
2021-04-28 06:00:00,54774.05000000,54995.07000000,53813.16000000,54255.98000000,10449.15362800,2021-04-28 09:59:59,568022814.00125671,384389,4945.30051900,268744784.98981362,0
2021-04-28 10:00:00,54255.98000000,55087.85000000,53917.64000000,54853.26000000,8471.39624600,2021-04-28 13:59:59,461280647.62842431,290349,4285.81221300,233316575.65408078,0
2021-04-28 14:00:00,54853.26000000,55327.00000000,54111.11000000,54338.14000000,8387.12884300,2021-04-28 17:59:59,459311959.81000166,278123,4136.82438300,226592254.46683870,0
2021-04-28 18:00:00,54338.14000000,55432.00000000,54245.33000000,55411.97000000,6539.81642600,2021-04-28 21:59:59,358295630.59714529,227726,3319.77760800,181940472.26982223,0
2021-04-28 22:00:00,55407.03000000,56428.00000000,54002.00000000,54846.22000000,11547.74210500,2021-04-29 01:59:59,634796224.26208059,393956,5717.62036700,314601789.16285974,0
2021-04-29 02:00:00,54846.23000000,55195.84000000,54046.33000000,54265.10000000,7127.89194100,2021-04-29 05:59:59,389101528.73873641,244149,3417.12106800,186497452.99152636,0
2021-04-29 06:00:00,54265.10000000,54493.87000000,53482.22000000,54465.14000000,8732.81015400,2021-04-29 09:59:59,471860522.93547128,281822,4027.13819200,217653551.20504763,0
2021-04-29 10:00:00,54465.27000000,54739.43000000,53759.98000000,54300.16000000,8709.30514200,2021-04-29 13:59:59,473048678.66917866,315088,4162.80995700,226140986.30999664,0
2021-04-29 14:00:00,54300.16000000,54531.89000000,53303.68000000,53703.11000000,10338.51024800,2021-04-29 17:59:59,557119590.36986006,380081,5004.03545800,269693090.43730070,0
2021-04-29 18:00:00,53703.11000000,53816.19000000,52476.69000000,52860.02000000,11220.07280200,2021-04-29 21:59:59,594616535.61067606,339434,5619.72394300,297777702.43804046,0
2021-04-29 22:00:00,52860.02000000,53650.63000000,52330.94000000,53555.00000000,6357.42916800,2021-04-30 01:59:59,337473479.15211881,203102,3108.91528400,165058384.55062771,0
2021-04-30 02:00:00,53555.00000000,53816.36000000,53013.01000000,53679.03000000,8135.86581800,2021-04-30 05:59:59,435131409.98932716,235789,3981.61048100,212933657.22169232,0
2021-04-30 06:00:00,53679.04000000,54558.80000000,53673.05000000,54343.11000000,9665.96274200,2021-04-30 09:59:59,523751806.88858674,339911,5147.28980800,278920972.07507880,0
2021-04-30 10:00:00,54343.11000000,54792.33000000,54051.11000000,54230.63000000,7863.06157300,2021-04-30 13:59:59,427702521.98587732,296678,3954.37394800,215105014.47306636,0
2021-04-30 14:00:00,54230.64000000,57258.15000000,54170.89000000,57180.06000000,21815.52226600,2021-04-30 17:59:59,1218766695.25828905,616960,11902.06980500,664937032.51781787,0
2021-04-30 18:00:00,57180.05000000,57385.00000000,56277.39000000,57007.38000000,11856.68673800,2021-04-30 21:59:59,673987322.40527606,416378,5920.88175000,336516927.27954295,0
2021-04-30 22:00:00,57007.38000000,57963.00000000,56374.21000000,57694.27000000,9241.81090800,2021-05-01 01:59:59,528847616.21202322,361932,4727.90329500,270452932.65697971,0
2021-05-01 02:00:00,57697.25000000,58458.07000000,57421.05000000,58178.67000000,10096.94040000,2021-05-01 05:59:59,585793602.30172458,371445,4852.77965600,281592832.63662574,0
2021-05-01 06:00:00,58177.59000000,58422.31000000,57585.55000000,57725.14000000,6729.89624800,2021-05-01 09:59:59,390366755.59225144,247941,3182.52065300,184609514.77366650,0
2021-05-01 10:00:00,57725.14000000,57930.00000000,57116.16000000,57816.90000000,7190.04672800,2021-05-01 13:59:59,413826102.81447711,320520,3597.25803000,207036608.75303157,0
2021-05-01 14:00:00,57816.91000000,58043.01000000,56956.14000000,57356.58000000,7376.61972700,2021-05-01 17:59:59,424641886.28956222,379142,3575.75873200,205885687.32385160,0
2021-05-01 18:00:00,57356.59000000,57998.97000000,57218.00000000,57770.31000000,6358.75689600,2021-05-01 21:59:59,366181027.16018320,234184,3105.31244100,178855306.61401764,0
2021-05-01 22:00:00,57770.32000000,57939.00000000,57243.65000000,57800.37000000,4848.09183700,2021-05-02 01:59:59,279533580.68432225,189781,2261.18071400,130375021.91253042,0
2021-05-02 02:00:00,57797.35000000,57911.02000000,56323.66000000,56450.19000000,7209.98658800,2021-05-02 05:59:59,412370178.55631084,253484,3381.61896200,193414020.18377090,0
2021-05-02 06:00:00,56450.19000000,57129.00000000,56171.31000000,56633.02000000,6137.57336800,2021-05-02 09:59:59,347941063.11992197,247263,3062.15396100,173595926.49223727,0
2021-05-02 10:00:00,56633.03000000,57090.00000000,56035.25000000,57090.00000000,7180.35999300,2021-05-02 13:59:59,405738581.00299290,242017,3664.77664200,207105135.56725831,0
2021-05-02 14:00:00,57090.00000000,57286.96000000,56231.55000000,56595.20000000,5974.87761200,2021-05-02 17:59:59,339209620.23889465,220996,2965.28637000,168348740.17295165,0
